id,is_a
3064,2050
3065,119
3066,2539
3067,9955
3068,2050
3069,3067
3070,3067
3071,6598
3072,4121
3073,11814
3074,12275
3075,16879
3076,2050
3077,15212
3078,9955
3079,5291
3080,2050
3081,7524
3082,17650
3083,5291
3084,1048
3085,947
3086,3524
3087,4344
3088,3481
3089,7530
3090,2001470
3091,4119
3092,10314
3093,2001470
3094,2001470
3095,10202
3096,2001470
3097,4000162
3098,34705
3099,5291
3100,468
3101,468
3102,61
3103,62
3104,479
3105,5291
3106,2513
3107,13765
3108,10912
3109,1077
3110,34921
3111,34921
3112,34921
3113,11159
3114,2539
3115,2539
3116,2539
3117,2539
3118,4363
3119,4363
3120,4363
3121,4363
3122,4363
3123,4363
3124,5631
3125,5764
3126,117
3127,1005
3128,75
3129,75
3130,10000
3131,475
3133,5156
3134,3133
3135,3133
3142,468
3143,468
3153,6007284
3155,6056
3161,963
